id,class
12001,15
12002,15
12003,15
12004,15
12005,15
12006,15
12007,15
12008,15
12009,15
12010,15
12011,15
12012,15
12013,15
12014,15
12015,15
12016,15
12017,15
12018,15
12019,15
12020,0
12021,0
12022,15
12023,15
12024,15
12025,15
12026,15
12027,15
12028,15
12029,15
12030,15
12031,15
12032,15
12033,15
12034,15
12035,15
12036,15
12037,15
12038,15
12039,15
12040,15
12041,15
12042,15
12043,15
12044,15
12045,15
12046,15
12047,15
12048,15
12049,15
12050,15
12051,15
12052,15
12053,15
12054,15
12055,15
12056,15
12057,15
12058,15
12059,15
12060,15
12061,15
12062,15
12063,15
12064,15
12065,15
12066,15
12067,15
12068,15
12069,15
12070,15
12071,15
12072,19
12073,15
12074,15
12075,15
12076,15
12077,15
12078,15
12079,15
12080,15
12081,15
12082,15
12083,15
12084,15
12085,15
12086,15
12087,15
12088,15
12089,15
12090,15
12091,15
12092,15
12093,15
12094,15
12095,15
12096,15
12097,15
12098,15
12099,15
12100,15
12101,15
12102,15
12103,15
12104,15
12105,15
12106,15
12107,15
12108,15
12109,15
12110,15
12111,15
12112,15
12113,15
12114,15
12115,15
12116,15
12117,15
12118,15
12119,15
12120,15
12121,15
12122,15
12123,15
12124,15
12125,15
12126,15
12127,15
12128,15
12129,15
12130,15
12131,15
12132,15
12133,15
12134,15
12135,15
12136,15
12137,15
12138,15
12139,15
12140,15
12141,15
12142,15
12143,15
12144,15
12145,15
12146,15
12147,15
12148,15
12149,15
12150,15
12151,15
12152,15
12153,0
12154,15
12155,15
12156,15
12157,15
12158,15
12159,15
12160,15
12161,15
12162,15
12163,15
12164,15
12165,15
12166,15
12167,15
12168,15
12169,15
12170,15
12171,15
12172,15
12173,15
12174,15
12175,15
12176,15
12177,15
12178,15
12179,15
12180,15
12181,15
12182,15
12183,15
12184,15
12185,15
12186,15
12187,15
12188,15
12189,15
12190,15
12191,15
12192,15
12193,15
12194,15
12195,15
12196,15
12197,15
12198,15
12199,15
12200,15
12201,15
12202,15
12203,15
12204,15
12205,15
12206,15
12207,15
12208,15
12209,15
12210,15
12211,15
12212,15
12213,15
12214,15
12215,15
12216,15
12217,15
12218,15
12219,15
12220,15
12221,15
12222,15
12223,15
12224,15
12225,15
12226,15
12227,15
12228,15
12229,15
12230,15
12231,15
12232,15
12233,15
12234,15
12235,15
12236,15
12237,15
12238,15
12239,15
12240,15
12241,15
12242,15
12243,15
12244,15
12245,15
12246,15
12247,15
12248,0
12249,15
12250,15
12251,15
12252,15
12253,15
12254,15
12255,15
12256,15
12257,15
12258,15
12259,15
12260,15
12261,15
12262,15
12263,15
12264,15
12265,15
12266,15
12267,15
12268,15
12269,15
12270,15
12271,15
12272,15
12273,15
12274,15
12275,15
12276,15
12277,15
12278,15
12279,15
12280,15
12281,15
12282,15
12283,0
12284,15
12285,15
12286,15
12287,15
12288,15
12289,15
12290,15
12291,15
12292,15
12293,15
12294,15
12295,15
12296,15
12297,15
12298,15
12299,15
12300,15
12301,15
12302,15
12303,15
12304,15
12305,15
12306,15
12307,15
12308,15
12309,15
12310,15
12311,15
12312,15
12313,15
12314,15
12315,15
12316,15
12317,15
12318,15
12319,15
12320,15
12321,15
12322,15
12323,15
12324,15
12325,15
12326,15
12327,15
12328,15
12329,15
12330,15
12331,15
12332,15
12333,15
12334,15
12335,15
12336,15
12337,15
12338,15
12339,15
12340,15
12341,15
12342,15
12343,15
12344,15
12345,15
12346,15
12347,15
12348,15
12349,15
12350,15
12351,15
12352,15
12353,15
12354,15
12355,15
12356,15
12357,15
12358,15
12359,15
12360,15
12361,15
12362,15
12363,15
12364,15
12365,15
12366,15
12367,15
12368,15
12369,15
12370,15
12371,15
12372,15
12373,15
12374,15
12375,15
12376,15
12377,15
12378,15
12379,15
12380,15
12381,15
12382,15
12383,15
12384,15
12385,15
12386,15
12387,15
12388,15
12389,15
12390,15
12391,15
12392,15
12393,15
12394,15
12395,15
12396,15
12397,15
12398,15
12399,15
12400,15
12401,15
12402,15
12403,15
12404,15
12405,15
12406,15
12407,15
12408,15
12409,15
12410,15
12411,15
12412,15
12413,15
12414,15
12415,15
12416,15
12417,15
12418,15
12419,15
12420,15
12421,15
12422,15
12423,15
12424,15
12425,15
12426,15
12427,15
12428,15
12429,15
12430,15
12431,15
12432,15
12433,15
12434,15
12435,15
12436,15
12437,15
12438,15
12439,15
12440,15
12441,15
12442,15
12443,15
12444,15
12445,15
12446,15
12447,15
12448,15
12449,0
12450,15
12451,15
12452,15
12453,15
12454,15
12455,15
12456,15
12457,15
12458,15
12459,15
12460,15
12461,15
12462,15
12463,15
12464,15
12465,15
12466,15
12467,15
12468,15
12469,15
12470,15
12471,15
12472,15
12473,15
12474,15
12475,15
12476,15
12477,15
12478,15
12479,15
12480,15
12481,15
12482,15
12483,15
12484,15
12485,15
12486,15
12487,15
12488,15
12489,15
12490,15
12491,15
12492,15
12493,15
12494,15
12495,15
12496,15
12497,15
12498,15
12499,15
12500,15
12501,15
12502,15
12503,15
12504,15
12505,15
12506,15
12507,15
12508,15
12509,15
12510,15
12511,15
12512,15
12513,15
12514,15
12515,15
12516,15
12517,15
12518,15
12519,15
12520,15
12521,15
12522,15
12523,15
12524,15
12525,15
12526,15
12527,15
12528,15
12529,15
12530,15
12531,15
12532,15
12533,15
12534,15
12535,15
12536,15
12537,15
12538,15
12539,15
12540,15
12541,15
12542,15
12543,15
12544,15
12545,15
12546,15
12547,15
12548,15
12549,15
12550,15
12551,15
12552,15
12553,0
12554,15
12555,15
12556,15
12557,15
12558,15
12559,15
12560,15
12561,15
12562,15
12563,15
12564,15
12565,15
12566,15
12567,15
12568,15
12569,15
12570,15
12571,15
12572,15
12573,15
12574,15
12575,15
12576,15
12577,15
12578,15
12579,15
12580,15
12581,15
12582,15
12583,15
12584,15
12585,15
12586,0
12587,15
12588,15
12589,15
12590,15
12591,15
12592,15
12593,15
12594,15
12595,15
12596,15
12597,15
12598,15
12599,15
12600,15
12601,15
12602,15
12603,15
12604,15
12605,15
12606,15
12607,15
12608,15
12609,15
12610,15
12611,15
12612,15
12613,15
12614,15
12615,15
12616,15
12617,15
12618,15
12619,15
12620,15
12621,15
12622,15
12623,15
12624,15
12625,15
12626,15
12627,15
12628,0
12629,15
12630,15
12631,0
12632,15
12633,15
12634,15
12635,15
12636,15
12637,15
12638,15
12639,15
12640,15
12641,15
12642,15
12643,15
12644,15
12645,15
12646,15
12647,15
12648,15
12649,15
12650,15
12651,15
12652,15
12653,15
12654,15
12655,15
12656,15
12657,15
12658,15
12659,15
12660,15
12661,15
12662,15
12663,15
12664,15
12665,15
12666,15
12667,15
12668,15
12669,15
12670,15
12671,15
12672,15
12673,15
12674,0
12675,15
12676,15
12677,15
12678,15
12679,15
12680,15
12681,15
12682,15
12683,15
12684,15
12685,15
12686,15
12687,15
12688,15
12689,15
12690,15
12691,15
12692,15
12693,15
12694,15
12695,15
12696,15
12697,0
12698,15
12699,15
12700,15
12701,15
12702,15
12703,15
12704,15
12705,15
12706,15
12707,15
12708,15
12709,15
12710,15
12711,15
12712,15
12713,15
12714,15
